SK_ID_BUREAU,MONTHS_BALANCE,STATUS
5229582,0,X
5229582,-1,X
5229582,-2,X
5229582,-3,X
5229582,-4,0
5229582,-5,0
5229582,-6,X
5229582,-7,0
5229582,-8,0
5229582,-9,X
5229582,-10,0
5229582,-11,X
5229582,-12,0
5229582,-13,0
5229582,-14,X
5229582,-15,0
5229582,-16,X
5229582,-17,X
5229582,-18,0
5229582,-19,0
5229582,-20,0
5229582,-21,X
5229582,-22,0
5229582,-23,0
5229582,-24,0
5229582,-25,X
5229582,-26,X
5229582,-27,X
5229582,-28,X
5229582,-29,X
5229582,-30,X
5819222,0,0
5819222,-1,0
5819222,-2,0
5819222,-3,0
5819222,-4,0
5819222,-5,0
5819222,-6,0
5819222,-7,0
5819222,-8,0
5819222,-9,0
5819222,-10,0
5819222,-11,0
5837388,0,C
5837388,-1,C
5837388,-2,C
5837388,-3,C
5837388,-4,C
5837388,-5,C
5837388,-6,C
5837388,-7,C
5837388,-8,C
5837388,-9,C
5837388,-10,C
5837388,-11,0
5837388,-12,0
5837388,-13,0
5837388,-14,0
5837388,-15,0
5837388,-16,0
5837388,-17,0
5837388,-18,0
5837388,-19,0
5837388,-20,0
6076570,0,C
6076570,-1,C
6076570,-2,C
6076570,-3,C
6076570,-4,C
6076570,-5,C
6076570,-6,C
6076570,-7,C
6076570,-8,C
6076570,-9,C
6076570,-10,C
6076570,-11,C
6076570,-12,C
6076570,-13,C
6076570,-14,C
6076570,-15,C
6076570,-16,C
6076570,-17,C
6076570,-18,C
6076570,-19,C
6076570,-20,C
6076570,-21,C
6076570,-22,C
6076570,-23,C
6076570,-24,C
6076570,-25,C
6076570,-26,C
6076570,-27,C
6076570,-28,C
6076570,-29,C
6076570,-30,C
6076570,-31,C
6076570,-32,C
6076570,-33,C
6076570,-34,C
6076570,-35,C
6076570,-36,C
6076570,-37,0
6076570,-38,0
6076570,-39,0
6076570,-40,0
6076570,-41,0
6195749,0,0
6195749,-1,0
6195749,-2,0
6195749,-3,0
6195749,-4,0
6195749,-5,0
6332135,-50,X
6332135,-51,0
6332135,-52,1
6332135,-53,1
6332135,-54,0
6332135,-55,0
6332135,-56,0
6332135,-57,0
6332135,-58,0
6332135,-59,0
6332135,-60,0
6406648,0,0
6406648,-1,0
6406648,-2,0
6406648,-3,0
6406648,-4,0
6406648,-5,0
6406648,-6,0
6406648,-7,0
6406648,-8,0
6406648,-9,0
6406648,-10,X
6406648,-11,0
6406648,-12,0
6406648,-13,0
6406648,-14,0
6406648,-15,0
6406648,-16,0
6406648,-17,0
6406648,-18,0
6406648,-19,0
6406648,-20,0
6406648,-21,0
6406648,-22,0
6406648,-23,0
6406648,-24,0
6406648,-25,0
6406648,-26,0
6406648,-27,0
6406648,-28,0
6406648,-29,0
6406648,-30,0
6406648,-31,0
6406648,-32,0
6406648,-33,0
6406648,-34,0
6406648,-35,0
6406648,-36,0
6406648,-37,0
6406648,-38,0
6406648,-39,0
6406648,-40,0
6406648,-41,0
6406648,-42,0
6406648,-43,0
6406648,-44,0
6406648,-45,0
6406648,-46,0
6406648,-47,0
6406648,-48,0
6406648,-49,0
6406648,-50,0
6406648,-51,0
6406648,-52,X
6732009,0,0
6732009,-1,0
6732009,-2,0
6732009,-3,0
6732009,-4,0
6732009,-5,0
6732009,-6,0
6732009,-7,0
6732009,-8,0
6732009,-9,0
6765503,0,0
6765503,-1,0
6765503,-2,0
6765503,-3,0
6765503,-4,0
6765503,-5,0
6765503,-6,0
6765503,-7,0
6765503,-8,0
6765503,-9,0
6765503,-10,0
6765503,-11,0
6765503,-12,0
6765503,-13,0
6765503,-14,0
6765503,-15,0
6765503,-16,0
6765503,-17,0
6765503,-18,0
6765503,-19,0
6765503,-20,0
6765503,-21,0
6765503,-22,0
6765503,-23,0
6765503,-24,0
6765503,-25,0
6765503,-26,0
6765503,-27,0
